FirstName,LastName,Profit,Cost
Daniel                        ,Day-Lewis                     ,5556,5869.61
Debbie                        ,Robinson                      ,4172,4509.84
Finley                        ,Gill                          ,4046,4157.73
Clayton                       ,Sloan                         ,4263,4398.51
Luka                          ,Ortega                        ,4909,5098.8
Deven                         ,Bishop                        ,4205,4295.57
Dominic                       ,Potter                        ,4592,4884.92
Elle                          ,Krueger                       ,5034,5254.47
Luke                          ,Fleming                       ,4207,4332.15
Aileen                        ,Santana                       ,4189,4299.75
